sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
278,virtual,2,341.0,50,1.79392,0.09971,5.63832,6.82
278,virtual,3,550.0,50,1.69543,0.06909,5.66212,11.0
280,closed,1,400.0,100,1.69503,0.07,5.27833,4.0
280,closed,2,734.0,100,1.71544,0.07629,5.5629,7.34
280,closed,3,1121.0,100,1.7614,0.08921,5.65923,11.21
280,virtual,1,200.0,50,1.66817,0.06,5.3125,4.0
280,virtual,2,372.0,50,1.71995,0.07527,5.52195,7.44
280,virtual,3,508.0,50,1.66169,0.05709,5.71358,10.16
282,closed,1,400.0,100,1.78286,0.0975,5.26208,4.0
282,closed,2,742.0,100,1.71977,0.07817,5.55076,7.42
282,closed,3,1100.0,100,1.7056,0.07,5.66394,11.0
282,virtual,1,200.0,50,1.67304,0.06,5.38917,4.0
282,virtual,2,372.0,50,1.69372,0.0672,5.62634,7.44
282,virtual,3,591.0,50,1.68724,0.07107,5.69402,11.82
284,closed,1,400.0,100,1.69073,0.065,5.26667,4.0
284,closed,2,734.0,100,1.76227,0.09128,5.56335,7.34
284,closed,3,1118.0,100,1.69175,0.06798,5.6692,11.18
284,virtual,1,200.0,50,1.75498,0.09,5.31083,4.0
284,virtual,2,351.0,50,1.70762,0.07407,5.70228,7.02
284,virtual,3,541.0,50,1.75309,0.08688,5.77203,10.82
286,closed,1,400.0,100,1.67586,0.0625,5.26792,4.0
286,closed,2,744.0,100,1.76251,0.08871,5.54637,7.44
286,closed,3,1117.0,100,1.73893,0.08236,5.67025,11.17
286,virtual,1,200.0,50,1.81893,0.115,5.305,4.0
286,virtual,2,333.0,50,1.74129,0.08408,5.66216,6.66
286,virtual,3,501.0,50,1.73256,0.08383,5.78876,10.02
288,closed,1,400.0,100,1.7664,0.0925,5.28833,4.0
288,closed,2,734.0,100,1.70302,0.06812,5.56108,7.34
288,closed,3,1122.0,100,1.72077,0.07576,5.66013,11.22
288,virtual,1,200.0,50,1.67673,0.06,5.33917,4.0
288,virtual,2,362.0,50,1.64015,0.04972,5.63996,7.24
288,virtual,3,568.0,50,1.70688,0.07218,5.75,11.36
290,closed,1,400.0,100,1.69695,0.0725,5.27208,4.0
290,closed,2,729.0,100,1.77594,0.09191,5.53018,7.29
290,closed,3,1111.0,100,1.72382,0.07651,5.69847,11.11
290,virtual,1,200.0,50,1.80695,0.105,5.3375,4.0
290,virtual,2,343.0,50,1.73603,0.08163,5.68173,6.86
290,virtual,3,524.0,50,1.69859,0.07252,5.78562,10.48
292,closed,1,400.0,100,1.69782,0.0675,5.28042,4.0
292,closed,2,732.0,100,1.74458,0.0847,5.53438,7.32
292,closed,3,1124.0,100,1.72795,0.07651,5.67586,11.24
292,virtual,1,200.0,50,1.68768,0.06,5.4125,4.0
292,virtual,2,369.0,50,1.76397,0.09485,5.68564,7.38
292,virtual,3,579.0,50,1.69427,0.06736,5.67444,11.58
294,closed,1,400.0,100,1.68889,0.065,5.2775,4.0
294,closed,2,732.0,100,1.76411,0.09016,5.54736,7.32
294,closed,3,1127.0,100,1.69975,0.07187,5.6541,11.27
294,virtual,1,200.0,50,1.71197,0.075,5.2925,4.0
294,virtual,2,383.0,50,1.67262,0.06005,5.56789,7.66
294,virtual,3,533.0,50,1.76118,0.09193,5.74203,10.66
296,closed,1,400.0,100,1.70651,0.0725,5.275,4.0
296,closed,2,729.0,100,1.74937,0.08368,5.53384,7.29
296,closed,3,1120.0,100,1.74761,0.08571,5.65685,11.2
296,virtual,1,200.0,50,1.70862,0.07,5.25417,4.0
296,virtual,2,353.0,50,1.66879,0.05666,5.54958,7.06
296,virtual,3,537.0,50,1.70179,0.0689,5.6825,10.74
