sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
270,fail,1,400.0,100,1.70961,0.0775,5.38458,4.0
270,fail,2,726.0,100,1.74435,0.08264,5.66322,7.26
270,fail,3,1093.0,100,1.71779,0.07594,5.7548,10.93
270,virtual,1,200.0,50,1.78777,0.1,5.315,4.0
270,virtual,2,351.0,50,1.74945,0.08832,5.58262,7.02
270,virtual,3,550.0,50,1.76981,0.09455,5.72333,11.0
272,fail,1,400.0,100,1.65624,0.0575,5.38583,4.0
272,fail,2,716.0,100,1.74357,0.0824,5.67016,7.16
272,fail,3,1110.0,100,1.72905,0.07838,5.72252,11.1
272,virtual,1,200.0,50,1.71964,0.075,5.30917,4.0
272,virtual,2,364.0,50,1.74008,0.08516,5.62912,7.28
272,virtual,3,559.0,50,1.75952,0.08766,5.69499,11.18
274,fail,1,400.0,100,1.69201,0.075,5.39542,4.0
274,fail,2,717.0,100,1.70433,0.07252,5.6855,7.17
274,fail,3,1112.0,100,1.72997,0.08094,5.69619,11.12
274,virtual,1,200.0,50,1.68346,0.065,5.3125,4.0
274,virtual,2,373.0,50,1.69086,0.06971,5.55719,7.46
274,virtual,3,544.0,50,1.74135,0.08456,5.68107,10.88
276,fail,1,400.0,100,1.65572,0.06,5.415,4.0
276,fail,2,721.0,100,1.73022,0.07767,5.6884,7.21
276,fail,3,1129.0,100,1.713,0.07617,5.69427,11.29
276,virtual,1,200.0,50,1.67819,0.065,5.3575,4.0
276,virtual,2,371.0,50,1.75005,0.08895,5.68194,7.42
276,virtual,3,554.0,50,1.74412,0.08484,5.79483,11.08
278,fail,1,400.0,100,1.66025,0.0575,5.38792,4.0
278,fail,2,721.0,100,1.73074,0.08183,5.67291,7.21
278,fail,3,1108.0,100,1.71655,0.07671,5.7142,11.08
278,virtual,1,200.0,50,1.67653,0.06,5.29,4.0
278,virtual,2,358.0,50,1.72987,0.07542,5.49721,7.16
278,virtual,3,559.0,50,1.7547,0.08945,5.66905,11.18
280,fail,1,400.0,100,1.64953,0.0625,5.39167,4.0
280,fail,2,730.0,100,1.69109,0.06575,5.64635,7.3
280,fail,3,1101.0,100,1.67868,0.06267,5.73827,11.01
280,virtual,1,200.0,50,1.79394,0.1,5.395,4.0
280,virtual,2,370.0,50,1.7111,0.07027,5.65135,7.4
280,virtual,3,594.0,50,1.70902,0.07071,5.68659,11.88
282,fail,1,400.0,100,1.72325,0.085,5.38333,4.0
282,fail,2,721.0,100,1.73105,0.08183,5.65511,7.21
282,fail,3,1107.0,100,1.70683,0.07588,5.71966,11.07
282,virtual,1,200.0,50,1.70178,0.065,5.24083,4.0
282,virtual,2,371.0,50,1.80398,0.09973,5.48068,7.42
