sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
274,fail,2,714.0,100,1.73813,0.08123,5.65266,7.14
274,fail,3,1184.0,100,1.76652,0.09122,5.60614,11.84
274,virtual,1,200.0,50,1.66836,0.06,5.42,4.0
274,virtual,2,361.0,50,1.72936,0.0831,5.56787,7.22
274,virtual,3,568.0,50,1.76676,0.08979,5.652,11.36
276,fail,1,400.0,100,1.60123,0.0425,5.29167,4.0
276,fail,2,710.0,100,1.75706,0.08873,5.66009,7.1
276,fail,3,1199.0,100,1.76125,0.09341,5.60703,11.99
276,virtual,1,200.0,50,1.84558,0.11,5.41917,4.0
276,virtual,2,381.0,50,1.67349,0.06299,5.57699,7.62
276,virtual,3,564.0,50,1.71835,0.07801,5.77335,11.28
278,fail,1,400.0,100,1.63684,0.055,5.30292,4.0
278,fail,2,720.0,100,1.69964,0.06806,5.63727,7.2
278,fail,3,1201.0,100,1.69343,0.06578,5.58826,12.01
278,virtual,1,200.0,50,1.74954,0.085,5.29083,4.0
278,virtual,2,362.0,50,1.5889,0.03039,5.70948,7.24
278,virtual,3,548.0,50,1.68693,0.06569,5.71077,10.96
280,fail,1,400.0,100,1.66325,0.065,5.29292,4.0
280,fail,2,713.0,100,1.76684,0.09397,5.62997,7.13
280,fail,3,1185.0,100,1.67289,0.0616,5.59142,11.85
280,virtual,1,200.0,50,1.69777,0.07,5.2475,4.0
280,virtual,2,355.0,50,1.73006,0.08169,5.68169,7.1
280,virtual,3,528.0,50,1.75458,0.08902,5.85511,10.56
282,fail,1,400.0,100,1.64704,0.055,5.27875,4.0
282,fail,2,712.0,100,1.69894,0.06461,5.62243,7.12
282,fail,3,1183.0,100,1.71664,0.07523,5.59031,11.83
282,virtual,1,200.0,50,1.67444,0.06,5.295,4.0
282,virtual,2,372.0,50,1.67751,0.05914,5.63082,7.44
282,virtual,3,518.0,50,1.74875,0.08494,5.83108,10.36
284,fail,1,400.0,100,1.62536,0.05,5.28042,4.0
284,fail,2,713.0,100,1.72591,0.07293,5.6302,7.13
284,fail,3,1190.0,100,1.72668,0.07899,5.59034,11.9
284,virtual,1,200.0,50,1.78199,0.1,5.32333,4.0
284,virtual,2,367.0,50,1.68054,0.06267,5.56494,7.34
284,virtual,3,523.0,50,1.73321,0.07839,5.75175,10.46
286,fail,1,400.0,100,1.72676,0.0825,5.28833,4.0
286,fail,2,712.0,100,1.73123,0.07725,5.6257,7.12
286,fail,3,1182.0,100,1.76829,0.09222,5.58418,11.82
286,virtual,1,200.0,50,1.73829,0.085,5.42167,4.0
286,virtual,2,360.0,50,1.78184,0.1,5.60231,7.2
286,virtual,3,570.0,50,1.79284,0.10175,5.69532,11.4
288,fail,1,400.0,100,1.70543,0.0775,5.275,4.0
288,fail,2,707.0,100,1.72751,0.07214,5.65865,7.07
288,fail,3,1177.0,100,1.72303,0.07562,5.61725,11.77
288,virtual,1,200.0,50,1.78571,0.095,5.30083,4.0
288,virtual,2,352.0,50,1.72619,0.0767,5.53078,7.04
288,virtual,3,512.0,50,1.751,0.0918,5.70443,10.24
290,fail,1,400.0,100,1.67797,0.0675,5.2825,4.0
290,fail,2,707.0,100,1.70611,0.06931,5.63932,7.07
290,fail,3,1171.0,100,1.73295,0.07942,5.62568,11.71
290,virtual,1,200.0,50,1.63548,0.05,5.43,4.0
290,virtual,2,374.0,50,1.73274,0.08021,5.65463,7.48
290,virtual,3,572.0,50,1.67287,0.06119,5.59761,11.44
292,fail,1,400.0,100,1.65954,0.0625,5.28958,4.0
292,fail,2,718.0,100,1.73391,0.0766,5.62651,7.18
292,fail,3,1178.0,100,1.67318,0.06282,5.59975,11.78
292,virtual,1,200.0,50,1.72601,0.075,5.41667,4.0
292,virtual,2,346.0,50,1.88729,0.13006,5.74759,6.92
292,virtual,3,554.0,50,1.79715,0.10289,5.82431,11.08
294,fail,1,400.0,100,1.63493,0.0575,5.29083,4.0
294,fail,2,714.0,100,1.73075,0.07563,5.63632,7.14
294,fail,3,1191.0,100,1.79377,0.10327,5.59642,11.91
294,virtual,1,200.0,50,1.73998,0.085,5.26417,4.0
294,virtual,2,351.0,50,1.69163,0.06553,5.52137,7.02
294,virtual,3,520.0,50,1.71981,0.07885,5.65353,10.4
296,fail,1,400.0,100,1.68381,0.0725,5.27042,4.0
296,fail,2,713.0,100,1.73985,0.07994,5.64142,7.13
296,fail,3,1186.0,100,1.71312,0.0742,5.61861,11.86
296,virtual,1,200.0,50,1.6914,0.07,5.31583,4.0
296,virtual,2,358.0,50,1.68877,0.06145,5.62244,7.16
296,virtual,3,552.0,50,1.72866,0.0779,5.73883,11.04
298,fail,1,400.0,100,1.74146,0.0875,5.2875,4.0
298,fail,2,721.0,100,1.71461,0.0749,5.63315,7.21
298,fail,3,1181.0,100,1.75129,0.08806,5.61064,11.81
298,virtual,1,200.0,50,1.79802,0.1,5.265,4.0
298,virtual,2,371.0,50,1.74382,0.08086,5.5584,7.42
298,virtual,3,519.0,50,1.71456,0.07129,5.63648,10.38
300,fail,1,400.0,100,1.56695,0.0325,5.27,4.0
300,fail,2,718.0,100,1.73135,0.07799,5.6214,7.18
300,fail,3,1167.0,100,1.73213,0.07883,5.62396,11.67
300,virtual,1,200.0,50,1.7501,0.09,5.40917,4.0
300,virtual,2,358.0,50,1.69333,0.06983,5.68901,7.16
300,virtual,3,548.0,50,1.76106,0.08759,5.85554,10.96
302,fail,1,400.0,100,1.71886,0.0875,5.28583,4.0
302,fail,2,728.0,100,1.69768,0.06593,5.60737,7.28
302,fail,3,1162.0,100,1.73362,0.08176,5.62435,11.62
302,virtual,1,200.0,50,1.69777,0.07,5.4475,4.0
302,virtual,2,384.0,50,1.72824,0.07812,5.6441,7.68
302,virtual,3,546.0,50,1.73786,0.08242,5.76984,10.92
304,fail,1,400.0,100,1.7235,0.085,5.27708,4.0
304,fail,2,712.0,100,1.7132,0.07303,5.62266,7.12
304,fail,3,1179.0,100,1.73497,0.08142,5.59542,11.79
304,virtual,1,200.0,50,1.72422,0.07,5.425,4.0
304,virtual,2,373.0,50,1.69201,0.06702,5.69303,7.46
304,virtual,3,554.0,50,1.698,0.06859,5.68712,11.08
306,fail,1,400.0,100,1.66231,0.0625,5.275,4.0
306,fail,2,712.0,100,1.72358,0.07584,5.62102,7.12
306,fail,3,1176.0,100,1.73253,0.08078,5.5873,11.76
306,virtual,1,200.0,50,1.73981,0.08,5.365,4.0
306,virtual,2,376.0,50,1.72262,0.07447,5.66622,7.52
306,virtual,3,578.0,50,1.7187,0.07439,5.65629,11.56
308,fail,1,400.0,100,1.709,0.08,5.27125,4.0
308,fail,2,707.0,100,1.71365,0.07355,5.6306,7.07
308,fail,3,1179.0,100,1.72791,0.07803,5.59231,11.79
308,virtual,1,200.0,50,1.76513,0.09,5.3125,4.0
308,virtual,2,330.0,50,1.78304,0.09697,5.74242,6.6
308,virtual,3,538.0,50,1.80124,0.10409,5.71004,10.76
310,fail,1,400.0,100,1.64356,0.055,5.2675,4.0
310,fail,2,708.0,100,1.69929,0.0678,5.60876,7.08
310,fail,3,1172.0,100,1.71563,0.07338,5.60452,11.72
310,virtual,1,200.0,50,1.70752,0.07,5.395,4.0
310,virtual,2,369.0,50,1.74003,0.08401,5.68112,7.38
310,virtual,3,519.0,50,1.71415,0.079,5.8404,10.38
312,fail,1,400.0,100,1.68215,0.075,5.27667,4.0
312,fail,2,715.0,100,1.71964,0.07552,5.61422,7.15
312,fail,3,1177.0,100,1.75688,0.08666,5.60649,11.77
312,virtual,1,200.0,50,1.76099,0.085,5.36833,4.0
312,virtual,2,364.0,50,1.69156,0.06868,5.62088,7.28
312,virtual,3,528.0,50,1.7062,0.07197,5.74937,10.56
314,fail,1,400.0,100,1.6857,0.0725,5.28333,4.0
314,fail,2,708.0,100,1.72886,0.0791,5.61982,7.08
314,fail,3,1178.0,100,1.70451,0.07131,5.59607,11.78
314,virtual,1,200.0,50,1.6752,0.065,5.34917,4.0
314,virtual,2,363.0,50,1.72533,0.07989,5.57943,7.26
314,virtual,3,564.0,50,1.69237,0.0656,5.66371,11.28
