sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
278,virtual,3,480.0,50,1.69897,0.06875,5.75382,9.6
280,closed,1,400.0,100,1.70575,0.075,5.405,4.0
280,closed,2,743.0,100,1.75304,0.08614,5.62046,7.43
280,closed,3,1142.0,100,1.73688,0.08144,5.69688,11.42
280,virtual,1,200.0,50,1.80028,0.105,5.2175,4.0
280,virtual,2,349.0,50,1.709,0.06877,5.52531,6.98
280,virtual,3,498.0,50,1.75535,0.09036,5.6573,9.96
282,closed,1,400.0,100,1.73731,0.0825,5.39292,4.0
282,closed,2,743.0,100,1.6989,0.07133,5.62808,7.43
282,closed,3,1114.0,100,1.68306,0.06373,5.72771,11.14
282,virtual,1,200.0,50,1.6155,0.045,5.175,4.0
282,virtual,2,350.0,50,1.73418,0.08286,5.5619,7.0
282,virtual,3,529.0,50,1.69207,0.06427,5.68116,10.58
284,closed,1,400.0,100,1.79243,0.1025,5.3975,4.0
284,closed,2,744.0,100,1.69579,0.06586,5.62231,7.44
284,closed,3,1128.0,100,1.70237,0.0727,5.72267,11.28
284,virtual,1,200.0,50,1.68426,0.065,5.15,4.0
284,virtual,2,366.0,50,1.78253,0.0929,5.42077,7.32
284,virtual,3,527.0,50,1.68726,0.06641,5.5408,10.54
286,closed,1,400.0,100,1.70047,0.0675,5.3925,4.0
286,closed,2,731.0,100,1.70177,0.06977,5.64501,7.31
286,closed,3,1121.0,100,1.76971,0.09456,5.73134,11.21
286,virtual,1,200.0,50,1.73235,0.08,5.1225,4.0
286,virtual,2,350.0,50,1.71186,0.07714,5.5281,7.0
286,virtual,3,505.0,50,1.73901,0.08317,5.69637,10.1
288,closed,1,400.0,100,1.67635,0.065,5.37292,4.0
288,closed,2,728.0,100,1.74846,0.08791,5.6353,7.28
288,closed,3,1123.0,100,1.72934,0.07658,5.7152,11.23
288,virtual,1,200.0,50,1.76719,0.095,5.10917,4.0
288,virtual,2,349.0,50,1.7164,0.06877,5.58739,6.98
288,virtual,3,502.0,50,1.75854,0.08367,5.7075,10.04
290,closed,1,400.0,100,1.78515,0.0975,5.37708,4.0
290,closed,2,730.0,100,1.72589,0.07397,5.64932,7.3
290,closed,3,1118.0,100,1.71077,0.07245,5.71571,11.18
290,virtual,1,200.0,50,1.70978,0.075,5.3725,4.0
290,virtual,2,402.0,50,1.72825,0.07463,5.46476,8.04
290,virtual,3,600.0,50,1.76278,0.09,5.67944,12.0
292,closed,1,400.0,100,1.77059,0.09,5.41375,4.0
292,closed,2,737.0,100,1.67382,0.0597,5.63478,7.37
292,closed,3,1140.0,100,1.72721,0.07544,5.71272,11.4
292,virtual,1,200.0,50,1.72378,0.08,5.19167,4.0
292,virtual,2,359.0,50,1.65879,0.0585,5.50046,7.18
292,virtual,3,523.0,50,1.80346,0.10516,5.67368,10.46
294,closed,1,400.0,100,1.68,0.0625,5.40292,4.0
294,closed,2,744.0,100,1.71544,0.07258,5.60282,7.44
294,closed,3,1121.0,100,1.73529,0.08029,5.7077,11.21
294,virtual,1,200.0,50,1.71011,0.07,5.20833,4.0
294,virtual,2,366.0,50,1.70996,0.0765,5.49499,7.32
294,virtual,3,555.0,50,1.66372,0.05946,5.66276,11.1
296,closed,1,400.0,100,1.62662,0.0425,5.38375,4.0
296,closed,2,749.0,100,1.68116,0.06409,5.59702,7.49
296,closed,3,1121.0,100,1.68204,0.06512,5.71841,11.21
296,virtual,1,200.0,50,1.71632,0.08,5.3325,4.0
296,virtual,2,363.0,50,1.67876,0.06336,5.58999,7.26
296,virtual,3,560.0,50,1.69066,0.06607,5.60268,11.2
298,closed,1,400.0,100,1.74255,0.085,5.38583,4.0
298,closed,2,736.0,100,1.76482,0.09511,5.62115,7.36
298,closed,3,1122.0,100,1.73037,0.07843,5.72995,11.22
298,virtual,1,200.0,50,1.68618,0.06,5.24833,4.0
298,virtual,2,376.0,50,1.7227,0.07979,5.52305,7.52
298,virtual,3,515.0,50,1.7995,0.1068,5.70291,10.3
300,closed,1,400.0,100,1.77436,0.095,5.38542,4.0
300,closed,2,737.0,100,1.67302,0.05834,5.62393,7.37
300,closed,3,1128.0,100,1.68931,0.06738,5.73907,11.28
300,virtual,1,200.0,50,1.7881,0.095,5.23333,4.0
300,virtual,2,372.0,50,1.66634,0.05645,5.47267,7.44
300,virtual,3,565.0,50,1.73842,0.08319,5.58201,11.3
302,closed,1,400.0,100,1.69966,0.07,5.38417,4.0
302,closed,2,727.0,100,1.76406,0.09354,5.6293,7.27
302,closed,3,1121.0,100,1.74497,0.08475,5.73506,11.21
302,virtual,1,200.0,50,1.73872,0.08,5.36083,4.0
302,virtual,2,384.0,50,1.70615,0.07031,5.54384,7.68
302,virtual,3,589.0,50,1.73332,0.08149,5.64092,11.78
304,closed,1,400.0,100,1.72956,0.08,5.38,4.0
